link,address,square_price,Area,price_start_from
https://krisha.kz/complex/show/nur-sultan/buharzhyrau/,"Астана, Есильский р-н, ул. Туран, 50/3, 50/4, 50/5",390000²tg,2-комн. 74.3 м²,28977000.0
https://krisha.kz/complex/show/nur-sultan/tamerlan/,"Астана, Алматы р-н, ул. Ахмет Байтурсынулы, 8",410000²tg,1-комн. 44.4 м²,19580400.0
https://krisha.kz/complex/show/ulydalaavenue/,"Астана, Есильский р-н, просп. Улы Дала угол ул. Толе Би",403000²tg,1-комн. 39.37 м²,18425160.0
https://krisha.kz/complex/show/astana/asti7/,"Астана, Есильский р-н, ​ул. Е 496, 8",450000²tg,1-комн. 35.69 м²,18915700.0
https://krisha.kz/complex/show/astana/sultanbeibarys/,"Астана, Нура р-н, ул. Сыганак",370000²tg,1-комн. 39.3 м²,15720000.0
https://krisha.kz/complex/show/astana/tumarresidence/,"Астана, Есильский р-н, пересечение проспекта Мангилик Ел и улицы Хусейн бен Талал",370000²tg,1-комн. 38.5 м²,16555000.0
https://krisha.kz/complex/show/atyrau/baiterek/,"Атырау, ул. Азаттык, 72-а",380000²tg,,
https://krisha.kz/complex/show/nur-sultan/atamura1/,"Астана, Алматы р-н, ул. Шаймерденова, 4/3",350000²tg,1-комн. 33.1 м²,11585000.0
https://krisha.kz/complex/show/nur-sultan/injupromenade/,"Астана, Алматы р-н, ул. Нажимеденова, 7",460000²tg,1-комн. 45.2 м²,23278000.0
https://krisha.kz/complex/show/nur-sultan/dastur/,"Астана, Есильский р-н, ул. Толе би, 16, 14/1, 12/2, 16/3",362250²tg,1-комн. 37.37 м²,13537283.0
https://krisha.kz/complex/show/astana/happyland/,"Астана, Нура р-н, шоссе Коргалжын",260000²tg,1-комн. 34.21 м²,8894600.0
https://krisha.kz/complex/show/astana/buqarjyrauexclusive/,"Астана, Есильский р-н, ул. Туран, 52/5, 52/6, 52/7",410311²tg,1-комн. 38.06 м²,17330842.0
https://krisha.kz/complex/show/aktau/kyran/,"Актау, 33 микрорайон",200000²tg,1-комн. 48.82 м²,9764000.0
https://krisha.kz/complex/show/kostanay/avstriiskyi/,"Костанай, ул. Курганская, 2",385000²tg,1-комн. 45.94 м²,17686900.0
https://krisha.kz/complex/show/almaty/armancity/,"Алматы, Медеуский р-н, Халиулина 140/5",475000²tg,1-комн. 44.4 м²,24909000.0
https://krisha.kz/complex/show/nur-sultan/asylym/,"Астана, Есильский р-н, ул. Мангилик ел, 30",515000²tg,,
https://krisha.kz/complex/show/nur-sultan/goldland/,"Астана, Есильский р-н, ул. Е-344",389000²tg,1-комн. 50.8 м²,20968000.0
https://krisha.kz/complex/show/almaty/autograph/,"Алматы, Медеуский р-н, ул. Жамакаева 191",15²tg,2-комн. 56.2 м²,84300000.0
https://krisha.kz/complex/show/nur-sultan/honnete/,"Астана, Есильский р-н, ул. Туран  - ул. 77",370000²tg,1-комн. 36.27 м²,18135000.0
https://krisha.kz/complex/show/kokshetau/atlant/,"Кокшетау, ул. Наурызбай Батыра 138",280000²tg,2-комн. 41.02 м²,11485600.0
https://krisha.kz/complex/show/almaty/fourseasons/,"Алматы, Бостандыкский р-н, ул. Журавлева, 26",790000²tg,,
https://krisha.kz/complex/show/almaty/qarasaipark/,"Алматы, Алмалинский р-н, ул. Карасай батыра, 119/95",645000²tg,1-комн. 59.2 м²,56240000.0
https://krisha.kz/complex/show/astana/snegiri/,"Астана, Сарыарка р-н, ул. Ш.Косшыгулулы 3/2",400000²tg,1-комн. 41.1 м²,17673000.0
https://krisha.kz/complex/show/astana/yrys1/,"Астана, Алматы р-н, трасса Астана-Караганда, 4/3",260000²tg,1-комн. 40.82 м²,11429600.0
https://krisha.kz/complex/show/almaty/hayatmeliora/,"Алматы, Медеуский р-н, ул. Сагадат Нурмагамбетов, 28",930000²tg,2-комн. 63.7 м²,59878000.0
https://krisha.kz/complex/show/almaty/appleresidence/,"Алматы, Ауэзовский р-н, улица Аскарова угол Саина",780000²tg,2-комн. 71.24 м²,55567200.0
https://krisha.kz/complex/show/orion-residence/,"Алматы, Бостандыкский р-н, пр. Аль-Фараби, 9 блок 5г",830000²tg,1-комн. 52.9 м²,57872600.0
https://krisha.kz/complex/show/nur-sultan/monaco/,"Астана, Алматы р-н, ул. Калдаякова - просп. Тауелсыздык",640000²tg,1-комн. 52.5 м²,35700000.0
https://krisha.kz/complex/show/almaty/alfarabi/,"Алматы, Бостандыкский р-н, ул. Аль-Фараби - ул. Сейфуллина",945000²tg,2-комн. 54.8 м²,63294000.0
https://krisha.kz/complex/show/nur-sultan/qyran/,"Астана, Есильский р-н, ул. Анет баба, дом 7, 7/1, 7/2",430000²tg,2-комн. 57.1 м²,26266000.0
https://krisha.kz/complex/show/nur-sultan/landmark/,"Астана, Есильский р-н, ул. Достык, 8/2",580000²tg,1-комн. 47.66 м²,30502399.0
https://krisha.kz/complex/show/aktau/terraceavenue/,"Актау, Побережье Каспийского моря, рядом с Rixos Water World",280000²tg,2-комн. 64.9 м²,18172000.0
https://krisha.kz/complex/show/almaty/timecity/,"Алматы, Турксибский р-н, мкр. Кайрат,​ 24-я улица, 1/1а",320000²tg,1-комн. 30 м²,10800000.0
https://krisha.kz/complex/show/almaty/metropole/,"Алматы, Бостандыкский р-н, пр. Аль-Фараби, уч. 41",845000²tg,1-комн. 54.6 м²,54327000.0
https://krisha.kz/complex/show/almaty/primavera/,"Алматы, Бостандыкский р-н, ул. Аль-Фараби - ул. Ходжанова",761000²tg,2-комн. 92.7 м²,71471700.0
https://krisha.kz/complex/show/shymkent/shahristan/,"Шымкент, мкр Нурсат, пр. Назарбаева 4 (рядом с театром им. Шанина)",488000²tg,2-комн. 77.87 м²,40492400.0
https://krisha.kz/complex/show/almaty/estet/,"Алматы, Бостандыкский р-н, ул. Розыбакиева - ул. Ескараева",855000²tg,2-комн. 57.3 м²,54435000.0
https://krisha.kz/complex/show/nur-sultan/austria/,"Астана, Алматы р-н, ул. Тыныбаева, 9",600000²tg,1-комн. 54.9 м²,33873300.0
https://krisha.kz/complex/show/nur-sultan/riviera/,"Астана, 189-я улица",240000²tg,,
https://krisha.kz/complex/show/legenda/,"Алматы, Алмалинский р-н, севернее пр. Абая, восточнее ул. Манаса",885000²tg,1-комн. 39.61 м²,43571000.0
https://krisha.kz/complex/show/almaty/sicilia/,"Алматы, Наурызбайский р-н, ул Сейдимбек, 110в",595000²tg,1-комн. 42.4 м²,30528000.0
https://krisha.kz/complex/show/atyrau/caspianpark/,"Атырау, проспект Абылхайыр хана 56А",450000²tg,1-комн. 67.18 м²,30231000.0
https://krisha.kz/complex/show/almaty/jazzkvartal/,"Алматы, Бостандыкский р-н, ул. Тлендиева - ул. Сатпаева",710000²tg,1-комн. 45.6 м²,35796000.0
https://krisha.kz/complex/show/astana/aisar/,"Астана, Есильский р-н, ​ул. Е-321, 6/2",369000²tg,1-комн. 42.19 м²,19913680.0
https://krisha.kz/complex/show/ust-kamenogorsk/novybereg/,"Усть-Каменогорск, ул. Базовая, 4/5",425000²tg,1-комн. 38.84 м²,16895400.0
https://krisha.kz/complex/show/almaty/gatecity/,"Алматы, Турксибский р-н, Алматинская обл., Илийский район, вдоль Капчагайской трассы",350000²tg,1-комн. 39.5 м²,15580950.0
https://krisha.kz/complex/show/astana/altynbesik/,"Астана, Нура р-н, ул. ​Казыбек би, 35",340000²tg,1-комн. 35.1 м²,11934000.0
https://krisha.kz/complex/show/atyrau/guriev/,"Атырау, ул. Абылхаир Хана, 46",365000²tg,1-комн. 55.5 м²,17205000.0
https://krisha.kz/complex/show/almaty/aspen/,"Алматы, Бостандыкский р-н, ул. Аль-фараби 116/1",1²tg,1-комн. 43.6 м²,43600000.0
https://krisha.kz/complex/show/nur-sultan/greenlineaqua/,"Астана, Есильский р-н, ул. Е-899, 1/1",535000²tg,2-комн. 53.15 м²,30986450.0
https://krisha.kz/complex/show/almaty/sundayterrace/,"Алматы, ул. Шынгыс Айтматов, 87/1",480000²tg,6-комн. 284 м²,136320000.0
https://krisha.kz/complex/show/nur-sultan/aqshanyraq/,"Астана, пос. Косшы, ул. Республики",200000²tg,1-комн. 27.56 м²,5512000.0
https://krisha.kz/complex/show/nur-sultan/bi-city-tokyo/,"Астана, Есильский р-н, ул. Мухамедханова - ул. 306",502000²tg,1-комн. 43.9 м²,26164400.0
https://krisha.kz/complex/show/almaty/ozenperknavoi/,"Алматы, Бостандыкский р-н, ул. Навои, 200",790000²tg,1-комн. 46.8 м²,40248000.0
https://krisha.kz/complex/show/nur-sultan/jetisuaqsu/,"Астана, Есильский р-н, ул. Улы Дала, 46",300000²tg,1-комн. 34.55 м²,14683750.0
https://krisha.kz/complex/show/ust-kamenogorsk/grandresidence/,"Усть-Каменогорск, ул. Красина, 11В",400000²tg,1-комн. 32.55 м²,13020000.0
https://krisha.kz/complex/show/aktobe/ordapalace/,"Актобе, район Астана , мкр Батыс-2 участок 11Б",300000²tg,1-комн. 46.77 м²,14031000.0
https://krisha.kz/complex/show/ust-kamenogorsk/renesans/,"Усть-Каменогорск, Утепова, 38Б",420000²tg,1-комн. 36.9 м²,14022000.0
https://krisha.kz/complex/show/almaty/sevenhills/,"Алматы, Бостандыкский р-н, ул. Гагарина, 277/7",640000²tg,2-комн. 50 м²,47250000.0
https://krisha.kz/complex/show/almaty/vendome/,"Алматы, Медеуский р-н, ул. Оспанова, 83/36",850000²tg,1-комн. 50.6 м²,43010000.0
https://krisha.kz/complex/show/astana/samalpark/,"Астана, Есильский р-н, ул. Казыбек би, 41/1",350000²tg,1-комн. 38.81 м²,13195400.0
https://krisha.kz/complex/show/astana/mod/,"Астана, Есильский р-н, ул. Хусейн Бен Талал и ул. 37",382000²tg,1-комн. 37.88 м²,18523320.0
https://krisha.kz/complex/show/aktau/englishhouse/,"Актау, 30 мкрн, дом 158",300000²tg,3-комн. 97 м²,32000000.0
https://krisha.kz/complex/show/almaty/severnyi/,"Алматы, Алатауский р-н, ул. Северное кольцо",390000²tg,1-комн. 38.5 м²,18100000.0
https://krisha.kz/complex/show/shymkent/asyltas/,"Шымкент, мкрн Нуртас",350000²tg,1-комн. 40.87 м²,14304500.0
https://krisha.kz/complex/show/konayev/mayak/,"Конаев (Капчагай), ул. Д.А.Кунаева, участок №17/3",420000²tg,1-комн. 45.53 м²,19122600.0
https://krisha.kz/complex/show/iassaui/aktobe/,"Актобе, пр. Молдагуловой, 5А",225000²tg,,
https://krisha.kz/complex/show/aktau/ilantower/,"Актау, 15 микрорайон",450000²tg,1-комн. 51.9 м²,25950000.0
https://krisha.kz/complex/show/atyrau/latifa/,"Атырау, мкр. Нурсая проспект Ел Орда строение 9А",300000²tg,,
https://krisha.kz/complex/show/konayev/zhiloydom/,"Конаев (Капчагай), Микрорайон 2, д. 15А",375000²tg,1-комн. 39.4 м²,16351000.0
https://krisha.kz/complex/show/shymkent/townhousetulpar/,"Шымкент, микрорайон Тулпар, 202-204",440000²tg,4-комн. 137.72 м²,60596800.0
https://krisha.kz/complex/show/uralsk/jenisa/,"Уральск, мкр. Женис, 40",240000²tg,1-комн. 51.5 м²,12875000.0
https://krisha.kz/complex/show/aktau/baqsarai/,"Актау, 20 микрорайон, 16-17",210000²tg,1-комн. 43.5 м²,9135000.0
https://krisha.kz/complex/show/nur-sultan/injuansar/,"Астана, Алматы р-н, проспект Р. Кошкарабаева, 54А",471000²tg,1-комн. 38.4 м²,18624500.0
https://krisha.kz/complex/show/karaganda/samal/,"Караганда, ул. Таттимбета 19/7",365000²tg,1-комн. 48.84 м²,19047600.0
https://krisha.kz/complex/show/batumi/dominion/,"Грузия, Батуми, ул. Зегедели, 14",557954²tg,4-комн. 178 м²,99315812.0
https://krisha.kz/complex/show/almaty/aqtolqyngrand/,"Алматы, Бостандыкский р-н, ул. Жарокова, 370",750000²tg,2-комн. 57.4 м²,51660000.0
https://krisha.kz/complex/show/almaty/rodnik2/,"Алматы, Бостандыкский р-н, ул. Жарокова 284/1",650000²tg,3-комн. 151.72 м²,98800000.0
https://krisha.kz/complex/show/atyrau/greenpark/,"Атырау, улица Нуртас Ондасынов, 16",400000²tg,1-комн. 45.2 м²,18080000.0
https://krisha.kz/complex/show/astana/ecopark/,"Астана, Нура р-н, ул. Сыганак, 4",395000²tg,1-комн. 39.5 м²,15800000.0
https://krisha.kz/complex/show/shymkent/tolebi/,"Шымкент, ул. Толе би",391314²tg,1-комн. 32.84 м²,14464049.0
https://krisha.kz/complex/show/almaty/dostyk/,"Алматы, Алатауский р-н, ул. Шоссе Северное кольцо, 92/10",425000²tg,1-комн. 34.2 м²,16587000.0
https://krisha.kz/complex/show/almaty/novapark/,"Туздыбастау (Калинино), ​Алатауская трасса, 33ж",420000²tg,4-комн. 143.8 м²,63000000.0
https://krisha.kz/complex/show/astana/tengri/,"Астана, Нура р-н, ​Улица Е 496, 3",370000²tg,3-комн. 67.09 м²,24823300.0
https://krisha.kz/complex/show/almaty/tan-nury/,"Алматы, Бостандыкский р-н, мкр. Мирас, 128",475000²tg,4-комн. 180 м²,115000000.0
https://krisha.kz/complex/show/aktau/taras/,"Актау, 7А мкр., уч.№18",350000²tg,2-комн. 74.3 м²,26005000.0
https://krisha.kz/complex/show/semey/IrtyshRiverside/,"Семей, ул. Жибек Жолы, 55",340000²tg,1-комн. 49.36 м²,16782400.0
https://krisha.kz/complex/show/astana/ferrumcity/,"Астана, Сарыарка р-н, ул. Е 882, участок 7",360000²tg,1-комн. 43.5 м²,18705000.0
https://krisha.kz/complex/show/ust-kamenogorsk/diamond/,"Усть-Каменогорск, ул. Увалиева 7",420000²tg,1-комн. 50.12 м²,21050400.0
https://krisha.kz/complex/show/almaty/koktobe-siti/,"Алматы, Медеуский р-н, ул. Сагадат Нурмагамбетова, 138/2",1²tg,1-комн. 45.16 м²,53532000.0
https://krisha.kz/complex/show/aktau/theboon/,"Актау, 41 микрорайон, 2",210000²tg,1-комн. 38.13 м²,8007300.0
https://krisha.kz/complex/show/uralsk/sunrise/,"Уральск, ул. Дархан 2",240000²tg,1-комн. 60 м²,14400000.0
https://krisha.kz/complex/show/aktau/aktauriviera/,"Актау, полуостров Мангыстау",573500²tg,1-комн. 30.91 м²,19040560.0
https://krisha.kz/complex/show/atyrau/khansultan/,"Атырау, р-н Парк Победы, 2-ая Береговая линия",460000²tg,2-комн. 100 м²,50000000.0
https://krisha.kz/complex/show/atyrau/englishkvartal/,"Атырау, мкр. Ак Шагала, ул. №2, стр. № 17-Б",390000²tg,1-комн. 42.4 м²,17808000.0
https://krisha.kz/complex/show/ust-kamenogorsk/rayresidence/,"Усть-Каменогорск, проспект Есенберлина 33",340000²tg,1-комн. 47.68 м²,16211200.0
https://krisha.kz/complex/show/kostanay/davincicomfort/,"Костанай, микрорайон Береке",340000²tg,1-комн. 39.52 м²,13832000.0
https://krisha.kz/complex/show/almaty/galamat/,"Боралдай (Бурундай), Алматинская область, Боралдай, мкр.Водник",350000²tg,1-комн. 18.55 м²,6492500.0
https://krisha.kz/complex/show/kaskelen/kemelui/,"Каскелен, ул. Жангозина 61Б",300000²tg,1-комн. 21.1 м²,6330000.0
https://krisha.kz/complex/show/alamty/remizovkalife/,"Алматы, Бостандыкский р-н, ул. Ушкемпирова (Арайлы) переулок 5, участок 6",640000²tg,7-комн. 232 м²,148480000.0
https://krisha.kz/complex/show/ust-kamenogorsk/parkline/,"Усть-Каменогорск, ​проспект Каныша Сатпаева, 82/9",350000²tg,1-комн. 36.91 м²,12918500.0
https://krisha.kz/complex/show/uralsk/omega/,"Уральск, ул. Есенжанова, 3/2",210000²tg,1-комн. 50.8 м²,11684000.0
https://krisha.kz/complex/show/almaty/qazyna/,"Алматы, Турксибский р-н, мкр. Кайрат, 135/4",390000²tg,,
https://krisha.kz/complex/show/shymkent/sayram/,"Шымкент, Аль-Фарабийский р-н, мкр. Сайрам, 11/1",380000²tg,1-комн. 49.83 м²,19433700.0
https://krisha.kz/complex/show/uralsk/zhiloidom/,"Уральск, ул. Кеменгер, 49/2",230000²tg,1-комн. 56.8 м²,13041000.0
https://krisha.kz/complex/show/nur-sultan/aiva/,"Астана, Есильский р-н, ул. Улы дала",340000²tg,1-комн. 29.78 м²,11316400.0
https://krisha.kz/complex/show/shymkent/tumarapartments/,"Шымкент, ​ул. Сырым батыра, 99/3",316000²tg,1-комн. 43 м²,19651000.0
https://krisha.kz/complex/show/konayev/suncity/,"Конаев (Капчагай), Конаев (Капчагай), 4-й микрорайон, уч. 62",350000²tg,1-комн. 53.99 м²,18896500.0
https://krisha.kz/complex/show/almaty/elifgarden/,"Алматы, Бостандыкский р-н, ул. Розыбакиева угол ул. Сатпаева",720000²tg,1-комн. 39 м²,29640000.0
https://krisha.kz/complex/show/almatyoblysy/janaqainar/,"Бесагаш, Талгарский район, ул. Аэропортная, участок 4/2 (ул. Бухтарминская - Кульджинский тракт)",355000²tg,1-комн. 36.6 м²,14054400.0
https://krisha.kz/complex/show/kostanay/janaqala/,"Костанай, ул. Наримановская, 64/1",440000²tg,2-комн. 86.01 м²,37844400.0
https://krisha.kz/complex/show/almaty/kaspii/,"Алматы, Алатауский р-н, ул. Момышулы, севернее ул. Монке би",340000²tg,1-комн. 28.3 м²,10188000.0
https://krisha.kz/complex/show/kostanay/keremet/,"Костанай, ул. Кайрбекова, 358/2",340000²tg,1-комн. 43.49 м²,14786600.0
https://krisha.kz/complex/show/atyrau/rayanapark/,"Атырау, Микрорайон Нурсая 3, ул.10",257234²tg,6-комн. 311 м²,80000000.0
https://krisha.kz/complex/show/almaty/skyvilla/,"Алматы, Бостандыкский р-н, ул. Таужиеги, 70",590000²tg,2-комн. 87 м²,51330000.0
https://krisha.kz/complex/show/nur-sultan/expoavenue/,"Астана, Есильский р-н, ул. Кабанбай батыра, 64",440000²tg,1-комн. 45.16 м²,20322000.0
https://krisha.kz/complex/show/almaty/dostar/,"Бесагаш, Талгарский район, п.Бесагаш, ул. Райымбек батыра 275",375000²tg,1-комн. 28.5 м²,13095000.0
https://krisha.kz/complex/show/almaty/jetisupark/,"Алматы, Жетысуский р-н, ул. Есенова, 160/3",460000²tg,1-комн. 38.2 м²,19100000.0
https://krisha.kz/complex/show/nur-sultan/sardar/,"Астана, Алматы р-н, ул. Кошкарбаева, 13",375000²tg,1-комн. 38.8 м²,18236000.0
https://krisha.kz/complex/show/atyrau/sultanbeybarys/,"Атырау, ул. Султан Бейбарыс, 167",395000²tg,2-комн. 72.5 м²,28637500.0
https://krisha.kz/complex/show/talgar/greengarden/,"Талгар, Поселок Байбулак ул Момышулы",320000²tg,2-комн. 72 м²,23040000.0
https://krisha.kz/complex/show/aktobe/berekepark/,"Актобе, район Астана, жилой массив Юго-Запад-2, ул.Шалкииз жырау, уч.1",395000²tg,3-комн. 150.1 м²,59289500.0
https://krisha.kz/complex/show/turkestan/primeresidence/,"Туркестан, квартал 160, уч. 761",275000²tg,1-комн. 51.23 м²,14088250.0
https://krisha.kz/complex/show/kokshetau/nuramir1/,"Кокшетау, ул. Ташенова, уч.129",205000²tg,1-комн. 40.96 м²,8396800.0
https://krisha.kz/complex/show/astana/delta/,"Астана, Нура р-н, ул. Молдагалиева",320000²tg,1-комн. 36.01 м²,13100000.0
https://krisha.kz/complex/show/almaty/newlife/,"Алматы, Ауэзовский р-н, проспект Райымбека, 348/1",355000²tg,,
https://krisha.kz/complex/show/taraz/janajai/,"Тараз, ул. Пушкина, 157",360000²tg,3-комн. 102.54 м²,36914400.0
https://krisha.kz/complex/show/astana/mjk-astana/,"Астана, Есильский р-н, ул. Коргалжынское шоссе - ул. Үкілі Ыбырай, 16",230000²tg,1-комн. 28.66 м²,6591000.0
https://krisha.kz/complex/show/astana/burabay2/,"Астана, Алматы р-н, улица А62, участок № 4/8",350000²tg,1-комн. 36.82 м²,11782400.0
https://krisha.kz/complex/show/karaganda/karkaraly/,"Караганда, Казыбек би р-н, ул. Муканова 51",250000²tg,1-комн. 36.06 м²,9015000.0
https://krisha.kz/complex/show/almaty/ordatown/,"Абай, Карасайский район, сельский округ Райымбекский, квартал 272, участок 70",350000²tg,1-комн. 26 м²,9100000.0
https://krisha.kz/complex/show/dubai/trillionaire/,"ОАЭ, Дубай, Business Bay - Dubai",22²tg,1-комн. 44 м²,96800000.0
https://krisha.kz/complex/show/almaty/nazhamakayeva/,"Алматы, Медеуский р-н, ул. Жамакаева, 254/4",12²tg,1-комн. 51.67 м²,62004000.0
https://krisha.kz/complex/show/astana/resbuplika/,"Астана, Нура р-н, ул. Е-36, 5",390000²tg,1-комн. 42.41 м²,16539900.0
https://krisha.kz/complex/show/nur-sultan/anisa/,"Астана, Нура р-н, ул. ​Кайым Мухамедханов, 23а",425000²tg,1-комн. 41.3 м²,19800000.0
https://krisha.kz/complex/show/karaganda/tolebi/,"Караганда, Казыбек би р-н, ул. Муканова, 55г",290000²tg,1-комн. 41.68 м²,12920800.0
https://krisha.kz/complex/show/uralsk/ortalyq/,"Уральск, ул. Вокзальная 4",285000²tg,2-комн. 81.7 м²,24131000.0
https://krisha.kz/complex/show/nur-sultan/satcity/,"Астана, Есильский р-н, ул. E-10 (район ТРЦ Хан-Шатыр)",350000²tg,1-комн. 37.3 м²,17800000.0
https://krisha.kz/complex/show/almaty/dashause/,"Алматы, Медеуский р-н, ул.Чайкиной, 5/1",14²tg,2-комн. 86.6 м²,106000000.0
https://krisha.kz/complex/show/almaty/klubniydomverona/,"Алматы, Бостандыкский р-н, ул. Арайлы, между переулком 5 и 6",640000²tg,1-комн. 54.67 м²,34988800.0
https://krisha.kz/complex/show/shymkent/prestige/,"Шымкент, Каратауский р-н, 190 квартал",365000²tg,1-комн. 48.43 м²,17676950.0
https://krisha.kz/complex/show/atyrau/aliya/,"Атырау, микрорайон Нурсая, ул. Абулхайыр Хана",300000²tg,1-комн. 43.16 м²,12948000.0
https://krisha.kz/complex/show/uralsk/oldairport/,"Уральск, ул.Б.Жумагалиева",235000²tg,1-комн. 44 м²,11660000.0
https://krisha.kz/complex/show/almaty/akkent/,"Алматы, Алатауский р-н, мкр. Аккент",410000²tg,1-комн. 29.56 м²,14780000.0
https://krisha.kz/complex/show/aktobe/nomadcity/,"Актобе, Батыс 2, уч. 22Е",280000²tg,,
https://krisha.kz/complex/show/kostanay/gafu/,"Костанай, ул.Толстого, 27",390000²tg,2-комн. 60.91 м²,23754900.0
https://krisha.kz/complex/show/aktau/sherqala/,"Актау, ​16-й микрорайон",350000²tg,2-комн. 61.6 м²,21560000.0
https://krisha.kz/complex/show/astana/kg-urker/,"Астана, Есильский р-н, микрорайон Уркер, ул. Жаменке абыз, дом 30",400000²tg,3-комн. 88 м²,34650000.0
https://krisha.kz/complex/show/shymkent/4you/,"Шымкент, вдоль улицы Рыскулова",504630²tg,1-комн. 47.94 м²,25047200.0
https://krisha.kz/complex/show/astana/nexpotrend/,"Астана, Есильский р-н, пр. Мангилик Ел - ул. Т. Рыскулова",469000²tg,2-комн. 46.8 м²,26763880.0
https://krisha.kz/complex/show/almaty/ainabulak/,"Алматы, Жетысуский р-н, мкр. Айнабулак, участок 33/2",361000²tg,1-комн. 36.6 м²,14640000.0
https://krisha.kz/complex/show/atyrau/altynzaman/,"Атырау, ул. Исатай Тайманова - ул. Жарбосынова",537000²tg,1-комн. 45.57 м²,32764830.0
https://krisha.kz/complex/show/almaty/arenapark/,"Алматы, Алатауский р-н, ул. Бауыржана Момышулы - ул. Монке би",476930²tg,1-комн. 40.42 м²,25060400.0
https://krisha.kz/complex/show/astana/shattyq/,"Астана, Нура р-н, пр. Турана - ул. Бухар Жырау",362000²tg,1-комн. 37.09 м²,17469390.0
https://krisha.kz/complex/show/astana/asylbesterek/,"Астана, Есильский р-н, ул. Фариза Онгарсынова, 8/2",468000²tg,1-комн. 43.11 м²,20434140.0
https://krisha.kz/complex/show/astana/sezimqalabaqyttowers/,"Астана, Нура р-н, ул. Роза Багланова, 12/5",350000²tg,1-комн. 39.94 м²,17733360.0
https://krisha.kz/complex/show/astana/greenlineflora/,"Астана, Нура р-н, ул. ​Е-899, 2а",522000²tg,1-комн. 40.51 м²,22361520.0
https://krisha.kz/complex/show/atyrau/talanlite/,"Атырау, просп. Абылхаир хана, 65",389000²tg,1-комн. 37.75 м²,15288750.0
https://krisha.kz/complex/show/aktau/munara/,"Актау, Микрорайон 29а, 38/8",110000²tg,1-комн. 46.5 м²,5115000.0
https://krisha.kz/complex/show/uralsk/orakbayeva/,"Уральск, ул. Оракбаева, 1",260000²tg,1-комн. 48.2 м²,12532000.0
https://krisha.kz/complex/show/shuchinsk/apartexburabay/,"Щучинск, ул.Ш.Уалиханова 7А",255000²tg,1-комн. 24.25 м²,6183750.0
https://krisha.kz/complex/show/shymkent/armanqala/,"Шымкент, мкр. Shymkent City",337000²tg,1-комн. 35.7 м²,13101900.0
https://krisha.kz/complex/show/nur-sultan/asylmura/,"Астана, Есильский р-н, ул. Толе би, 63",484000²tg,1-комн. 37.41 м²,22190060.0
https://krisha.kz/complex/show/shymkent/atamura/,"Шымкент, просп. ​Байдибек би, 115/10",374000²tg,1-комн. 36.95 м²,14595250.0
https://krisha.kz/complex/show/astana/modstandart/,"Астана, Есильский р-н, Вдоль ул. 37",326000²tg,1-комн. 34.36 м²,15221480.0
